customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;TotalIntlCalls;TotalDayCalls;TotalEveMinutes;TotalIntlMinutes;TotalDayMinutes;TotalEveCalls;NumbervMailMessages;CustomerServiceCalls;InternationalPlan;TotalCall;VoiceMailPlan;TotalNightCalls;TotalNightMinutes;Churn
7590-VHVEG;Female;0;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;29,85;29,85;;;;;;;;;;;;;;No
5575-GNVDE;Male;0;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check;56,95;1889,5;3;110;197,4;10;265,1;99;25;1;No;304;Yes;91;244,7;No
7795-CFOCW;Male;0;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic);42,3;1840,75;;;;;;;;;;;;;;No
9237-HQITU;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,7;151,65;9;67;317,8;5,4;332,9;97;0;4;No;305;No;128;160,6;Yes
9305-CDSKC;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,65;820,5;;;;;;;;;;;;;;Yes
1452-KIOVK;Male;0;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89,1;1949,4;12;94;231,7;6,4;124,5;90;22;1;No;305;Yes;108;222,2;No
6713-OKOMC;Female;0;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;29,75;301,9;;;;;;;;;;;;;;No
6388-TABGU;Male;0;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);56,15;3487,95;3;123;195,5;13,7;161,6;103;26;1;No;333;Yes;103;254,4;No
9763-GRSKD;Male;0;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;49,95;587,45;5;114;121,2;12,2;243,4;110;0;0;No;333;No;104;162,6;No
8091-TTVAX;Male;0;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);100,35;5681,1;5;96;202,1;10,4;58,2;126;0;0;No;324;No;97;210,5;No
0280-XJGEX;Male;0;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103,7;5036,3;;;;;;;;;;;;;;Yes
5129-JLPIS;Male;0;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105,5;2686,05;3;113;148,3;10,1;166,7;122;0;3;Yes;362;No;121;186,9;No
3655-SNQYZ;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);113,25;7895,15;6;72;225,2;7;212,7;90;0;1;No;268;No;99;195,1;No
8191-XWSZG;Female;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,65;1022,95;6;98;220,6;6,3;223,4;101;0;0;Yes;323;No;118;203,9;No
9959-WOFKT;Male;0;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);106,7;7382,25;4;89;131,7;11,8;151,5;78;0;0;No;302;No;131;235,3;No
4190-MFLUW;Female;0;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55,2;528,35;6;89;169,9;5,7;62,4;121;0;5;No;285;No;64;209,6;Yes
4183-MYFRB;Female;0;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;90,05;1862,9;7;88;348,5;7,5;218,2;108;24;3;No;324;Yes;118;212,6;No
8779-QRDMV;Male;1;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39,65;39,65;;;;;;;;;;;;;;Yes
1680-VDCWW;Male;0;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,8;202,25;6;79;103,1;7,1;157;94;0;0;Yes;275;No;96;211,8;No
1066-JKSGK;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,15;20,15;3;118;252,4;11,8;249,6;119;0;1;No;331;No;90;280,2;Yes
3638-WEABW;Female;0;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);59,9;3505,1;5;117;218,7;11,5;146,3;93;0;1;Yes;313;No;97;236;No
6865-JZNKO;Female;0;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);55,3;1530,6;5;84;222;11,2;258,6;111;37;0;Yes;297;Yes;97;326,4;No
6467-CHFZW;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,35;4749,15;;;;;;;;;;;;;;Yes
8665-UTDHZ;Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30,2;30,2;;;;;;;;;;;;;;Yes
5248-YGIJN;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);90,25;6369,45;2;100;148,8;6,7;195,1;95;0;0;No;314;No;117;224,5;No
